"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"35",2020-03-29,157,61.5,12.5,55,65,11,30.9,-96,-94,-88,-88,-65,24,2020-03-29,0.800820474686844,0.80126853711336,0.744512362879756,0.86700714783392,87.0655045581497,114.450585184556,0,0,0
"36",2020-03-30,129,76,9.7,55,36,14.2,24,-81,-42,-77,-78,-67,33,2020-03-30,0.798647046999371,0.797189867488436,0.729408079712822,0.850355236013055,83.5690975687041,113.886110217148,0,0,0
"37",2020-03-31,68,61,6,17,10,15.6,25.2,-90,-37,-77,-76,-69,35,2020-03-31,0.799371335698119,0.797652702194803,0.736570752238386,0.859564358587952,80.1590214652508,112.853095198424,94.1176266082293,68,444
"38",2020-04-01,144,55.5,4.5,38,14,19.2,28.9,-90,-35,-75,-76,-68,35,2020-04-01,0.796593254351337,0.793742049437337,0.73648186761652,0.85488751477924,76.844503053384,111.394444977175,111.592325770042,144,793
"39",2020-04-02,141,53,6.6,55,17,13.3,30.1,-90,-35,-75,-76,-68,35,2020-04-02,0.796803887908918,0.794258378647515,0.738256341210661,0.859362845768074,73.650615461913,109.573858964734,163.797951078105,141,529
"40",2020-04-03,114,58.4,8.7,55,19,18.3,32.5,-85,-29,-78,-78,-67,36,2020-04-03,0.796444796981131,0.792448063955786,0.734035315259575,0.853322021802846,70.5736552711747,107.417127961667,115.987967189378,114,604
"41",2020-04-04,90,57,9.7,59,20,12.4,35.4,-90,-42,-85,-81,-64,28,2020-04-04,0.795922538138528,0.794554151057303,0.740829285737679,0.856333995410138,67.6076964521251,105.001535789435,110.17519215095,90,502
"42",2020-04-05,92,54.3,10.6,50,17,10.1,32.1,-96,-93,-88,-87,-63,24,2020-04-05,0.794352865337529,0.79363517215892,0.732474638925828,0.853863233830931,64.7597870790214,102.372226924376,115.854532657092,92,488
"43",2020-04-06,96,52,12.5,65,25,12.8,34.6,-82,-32,-74,-76,-63,31,2020-04-06,0.791995662728732,0.79071869039095,0.731660716928841,0.855747857391113,62.0250308435376,99.5799942703011,131.685586808993,96,448
"44",2020-04-07,39,46,12.5,63,26,20.2,34.2,-81,-33,-73,-75,-64,33,2020-04-07,0.790772852708902,0.790322510994393,0.724208468210011,0.847540236196901,59.3912408811134,96.6540961058805,54.5940245996281,39,439
