"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"27",2020-03-21,50,86.9,11.3,65,21,16.5,-86,-53,-84,-78,-61,27,2020-03-21,0.864724755226507,0.864011703075491,0.804672318870511,0.940267656039871,79.6603073674376,68.6244985346096,102.389106063889,50,343
"28",2020-03-22,63,67.7,12.6,53,16,8.3,-94,-84,-92,-85,-61,25,2020-03-22,0.851580392713479,0.850689935393112,0.782383131011476,0.915280182848609,77.7964312542033,71.2745473159885,129.0102736405,63,322
"29",2020-03-23,34,39.5,6.9,25,10,7.8,-78,-46,-82,-77,-65,32,2020-03-23,0.8408162606647,0.840505179051767,0.773173159646869,0.902481155034384,75.7451621677549,73.5868889651304,69.6245921234444,34,108
"30",2020-03-24,74,50.6,5.3,38,10,17.4,-80,-48,-81,-77,-66,33,2020-03-24,0.831560115732468,0.830356717200443,0.759537802272215,0.891615188013636,73.5478499739397,75.5223791088805,106.365008603358,74,575
"31",2020-03-25,87,78,4.5,34,10,3.7,-82,-52,-84,-79,-68,34,2020-03-25,0.824913663778822,0.823258763856689,0.761559588163761,0.888351374042362,71.2338205378191,77.0724434527277,104.058152215414,87,691
"32",2020-03-26,55,68.6,6.6,30,10,2.8,-84,-53,-86,-81,-71,37,2020-03-26,0.819295586081115,0.816179965518782,0.754742738451184,0.884708805666902,68.8400122741433,78.2178127627717,68.0489034852157,55,668
"33",2020-03-27,0,75.9,10.2,46,22,3.7,-82,-48,-83,-80,-70,37,2020-03-27,0.813761571372237,0.811899562066185,0.745956650703848,0.876529040230117,66.40862197469,78.9662426582099,0,0,0
"34",2020-03-28,91,70.7,11.8,97,NA,19.2,-87,-55,-84,-79,-65,28,2020-03-28,0.807859474860341,0.808563728045772,0.743812316614066,0.870719522693995,63.9749932740067,79.3216487977866,162.440869627304,91,463
"35",2020-03-29,102,83.8,11.1,57,NA,10.1,-94,-84,-91,-85,-62,25,2020-03-29,0.802918926772773,0.804261711513191,0.731312398219958,0.862471425163221,61.5553959080247,79.3105791125222,128.312718634804,102,657
"36",2020-03-30,65,89.7,11.7,53,25,15.1,-79,-47,-79,-77,-67,32,2020-03-30,0.800704310861816,0.801202359990526,0.741464184624434,0.869629975193939,59.1531156445312,78.9402898400643,95.082329503719,65,565
"37",2020-03-31,65,65.8,9.6,21,7,5.1,-90,-44,-79,-76,-69,34,2020-03-31,0.794845454396413,0.795532997262132,0.725442713825214,0.853524014420865,56.7758928027516,78.2572042249271,52.823516390955,65,1017
"38",2020-04-01,71,41.5,7.7,42,12,5.1,-90,-41,-79,-74,-68,34,2020-04-01,0.790358265988802,0.792180746205154,0.720965556085573,0.85288371759815,54.4451557955085,77.2898408558604,62.7598132133556,71,935
"39",2020-04-02,261,51.5,8.1,42,12,16,-89,-41,-78,-74,-68,35,2020-04-02,0.783569354639561,0.784117952648422,0.722020003838697,0.853443089838155,52.161972719133,76.074623814434,80.8820958164801,261,2667
"40",2020-04-03,124,62.7,9.3,50,13,17.9,-84,-40,-78,-76,-68,35,2020-04-03,0.778646103848309,0.779879514648295,0.720369063606158,0.848982679078161,49.9180006839628,74.6372191914257,49.9922551972274,124,2050
"41",2020-04-04,83,48.6,14.4,53,16,26.1,-89,-49,-84,-77,-63,28,2020-04-04,0.771591485374291,0.773040537617619,0.710886061914269,0.834933268078443,47.7073720071953,73.0228498224994,41.4992400025771,83,1653
"42",2020-04-05,89,46.9,14.7,50,15,7.8,-95,-81,-90,-84,-61,25,2020-04-05,0.764708742777875,0.763711858649363,0.703031460093682,0.821307132185449,45.5332315143959,71.2594359583327,46.6141653416643,89,1578
"43",2020-04-06,54,46.9,16.3,63,22,6.4,-81,-39,-78,-74,-65,31,2020-04-06,0.758850861034208,0.758001971260283,0.69279552234259,0.810644690016263,43.3968584073758,69.3773533240553,69.0869700680749,54,646
