"","Date","NPI","Daily","Humidity","Temperature","pm25","pm10","no2","o3","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"54",2020-04-16,85.26000214,121,64.8,14.5,42,15,8.3,22,90,2020-04-16,0.786728180138086,0.786049353067865,0.724344335235525,0.851928011260015,52.2349845279922,85.3142946743867,87.4733646369875,102,4417
"55",2020-04-17,85.26000214,130,74.5,15.5,38,18,6.9,22,90,2020-04-17,0.782992825290266,0.781079711721663,0.719526439781041,0.846005711112391,49.9606637141286,82.6578912650193,123.625274797484,121,2321
"56",2020-04-18,85.26000214,64,84.1,15.5,30,16,5.1,23.2,90,2020-04-18,0.779019496835439,0.776703210771866,0.714061121799314,0.83224818369673,47.7553759741908,79.988017280193,113.673168006908,130,4332
"57",2020-04-19,85.26000214,51,80.2,17.5,46,23,3.7,22.4,90,2020-04-19,0.774545256245842,0.772447550152064,0.699534410790174,0.820600325538854,45.6179112867483,77.3130619131882,0,0,0
"58",2020-04-20,85.26000214,56,93,16.6,38,15,8.3,14.3,90,2020-04-20,0.771423252353561,0.76975376343079,0.711522585449041,0.826354703092194,43.5391815380998,74.652219593933,52.1065207824105,51,310
"59",2020-04-21,85.26000214,68,82.4,16.1,25,13,7.8,12.2,90,2020-04-21,0.767645827424754,0.765702960205694,0.703912117317783,0.824277809556444,41.5149458135543,72.0110507143661,57.2150032120586,56,685
"60",2020-04-22,85.26000214,56,93,14.4,25,9,7.4,9,90,2020-04-22,0.765439009700879,0.764172368408092,0.704474268403152,0.828720374122226,39.5497275268717,69.398913815638,69.475361043214,68,1018
"61",2020-04-23,85.26000214,48,84.1,15.4,25,10,7.4,15.9,90,2020-04-23,0.763050409070416,0.763209453669968,0.693390071863345,0.814163985769946,37.6474657839699,66.82241910519,57.2150032120586,56,747
"62",2020-04-24,85.26000214,73,78.9,16.4,50,15,7.4,21.6,90,2020-04-24,0.762017768968614,0.761128320907925,0.694620018917906,0.818335576547672,35.8124507699306,64.2939065752777,4.90414313246217,48,37075
"63",2020-04-25,85.26000214,67,81.5,16,46,15,4.2,23.6,90,2020-04-25,0.759782052019218,0.761824159314652,0.704551021140838,0.830821201261482,34.0480902063404,61.803554055855,74.5838434728621,73,3203
"64",2020-04-26,85.26000214,68,72.3,16.1,25,9,3.2,22.8,90,2020-04-26,0.758167139291199,0.755539718917325,0.697459515287343,0.819248067339296,32.3574041312072,59.3705478899225,68.4536645572844,67,2545
"65",2020-04-27,85.26000214,73,76.2,17.2,34,12,6.4,21.2,90,2020-04-27,0.757435931068669,0.754915772355813,0.686726703474734,0.815740645964721,30.7393178746435,56.9895681722967,69.475361043214,68,1563
"66",2020-04-28,85.26000214,52,79.7,17,38,18,6,22,90,2020-04-28,0.756843736491806,0.756400217126693,0.682771694926954,0.815942583824062,29.1906140700969,54.6614171693187,74.5838434728621,73,3162
"67",2020-04-29,85.26000214,62,79,16,21,15,4.2,25.6,90,2020-04-29,0.758719085497663,0.757854440332872,0.688089542883574,0.818048412837378,27.7117792669824,52.3879207046628,53.1282172683401,52,2978
"68",2020-04-30,85.26000214,51,69.5,16.9,25,12,6,22,90,2020-04-30,0.759661806442182,0.759932693337185,0.689492308922632,0.817134271147593,26.303599685337,50.1705846533584,63.3451821276363,62,3547
"69",2020-05-01,85.26000214,56,70.4,18.4,21,12,1.9,29.7,90,2020-05-01,0.761556599850126,0.761167330755993,0.685088712093907,0.816355496071199,24.970840855121,48.0109277956459,47.2334781909015,51,4090
"70",2020-05-02,85.26000214,48,70.4,18.8,25,17,3.7,24.4,90,2020-05-02,0.763173035365681,0.759231742570876,0.701385241772373,0.829140777098526,23.7140859071428,45.9107270032616,57.2150032120586,56,1849
"71",2020-05-03,85.26000214,37,56,19.5,30,12,2.8,20.8,90,2020-05-03,0.767528516215651,0.767414061103244,0.701272817543751,0.822950769297579,22.5296243561719,43.8717919429955,49.0414313246217,48,2749
"72",2020-05-04,64.09999847,57,49,19.5,25,11,7.4,28.5,60,2020-05-04,0.772085922082648,0.771123347026364,0.708323406170083,0.830850960164485,21.413972918537,41.8956563512232,37.8027699793959,37,2239
"73",2020-05-05,64.09999847,75,55.5,19.5,30,15,10.1,24,60,2020-05-05,0.776632675688247,0.774867871814671,0.716283979938871,0.839682026482764,20.3680307344059,39.9835875473187,58.2366996979882,57,2081
"74",2020-05-06,64.09999847,37,66,19.6,34,16,7.4,23.2,60,2020-05-06,0.779527114999218,0.778000784715776,0.718528599010197,0.84547874584693,19.3926835867792,38.1367097977378,76.6272364447213,75,3107
"75",2020-05-07,64.09999847,47,51.5,18.8,34,13,6.4,30.1,60,2020-05-07,0.786198078577807,0.785284849577702,0.729118570559603,0.851527832529317,18.4836659463628,36.356332652243,33.1646402504993,37,4226
"76",2020-05-08,64.09999847,38,61,18.4,38,15,8.7,26.4,60,2020-05-08,0.792175037721191,0.791454112300642,0.722580435066319,0.850739940268146,17.6331207635407,34.6438210689299,48.019734838692,47,3003
"77",2020-05-09,64.09999847,27,56.3,20.1,42,15,7.4,29.7,60,2020-05-09,0.799652189613427,0.799709280978389,0.742044724016845,0.864992927725553,16.8403502472208,33.00022769883,38.8244664653255,38,3035
"78",2020-05-10,64.09999847,21,46.1,20.5,38,14,4.2,32.5,60,2020-05-10,0.807709560403738,0.807104767229473,0.748138458737541,0.869953016123089,16.1061292507203,31.4261057101481,27.5858051200997,27,3210
