"","Date","NPI","Daily","Humidity","Temperature","pm25","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"37",2020-03-30,83.97000122,305,79.2,10.3,50,80,2020-03-30,0.792234740158199,0.789214883185429,0.726545888454499,0.844054813162779,242.070582483584,348.588877789437,409.632014943613,217,609
"38",2020-03-31,83.97000122,256,67.4,6.1,30,80,2020-03-31,0.79123932698051,0.788300236516257,0.724799023383815,0.844893869574017,231.735710078108,342.579226667275,310.568459571096,305,1129
"39",2020-04-01,83.97000122,280,56,6.5,57,80,2020-04-01,0.7905957355482,0.790776983228663,0.720027389046917,0.841610219871574,221.801822070531,335.545717915542,236.386170147018,256,1245
"40",2020-04-02,83.97000122,304,54.7,8.6,76,80,2020-04-02,0.790318786295296,0.790245254487826,0.72813362128404,0.850189462385276,212.238606695567,327.581353580685,314.34714856434,280,1024
"41",2020-04-03,83.97000122,477,53.2,11.3,89,80,2020-04-03,0.787608403093969,0.787079278203458,0.71721386965804,0.842567806995106,203.041358224684,318.956517826557,286.226190357684,304,1221
"42",2020-04-04,83.97000122,213,50,12.7,80,80,2020-04-04,0.787008365628964,0.786291311506647,0.724517749408271,0.842091934408918,194.216437474459,309.820358737487,322.378088565455,477,1701
"43",2020-04-05,83.97000122,195,47.5,12.5,74,80,2020-04-05,0.783044996441484,0.781093613717346,0.722342606065605,0.836787583991735,185.713324065794,300.334972922418,552.748188226906,213,443
"44",2020-04-06,83.97000122,195,45.5,14,68,80,2020-04-06,0.780649521069659,0.777137768836663,0.714522518292866,0.834106367535372,177.509646046713,290.582320981345,249.915745442457,195,897
"45",2020-04-07,83.97000122,220,39.5,15.2,65,80,2020-04-07,0.777770426121107,0.774647837255941,0.714821196188943,0.833075252881277,169.57294326046,280.731987412233,160.69851158558,195,1395
"46",2020-04-08,83.97000122,330,33.2,16.5,59,80,2020-04-08,0.775376899211927,0.774448465088331,0.712326073198044,0.834975102278382,161.877542349732,270.854346517553,141.927460374729,220,1782
"47",2020-04-09,83.97000122,301,36,16.9,59,80,2020-04-09,0.773128614767619,0.773610411141562,0.702072167422986,0.831840033864856,154.429945552665,261.031283049038,170.351190651841,330,2227
"48",2020-04-10,81.41000366,379,33.7,18,55,80,2020-04-10,0.768106487821115,0.766343396858343,0.714074576429567,0.836117259572379,147.234884408264,251.335164489693,121.16013345225,301,2856
"49",2020-04-11,81.41000366,334,34.4,17.5,53,80,2020-04-11,0.763083655931753,0.75956817609398,0.697124624351722,0.817870562693337,140.292768748766,241.782898156762,223.66689456077,379,1948
"50",2020-04-12,85.26000214,190,35.5,17.2,38,90,2020-04-12,0.758959104206095,0.757517179345734,0.697945031062499,0.81981239573722,133.565705488324,232.431665383818,188.405569822272,334,2038
"51",2020-04-13,85.26000214,210,38.7,16,42,90,2020-04-13,0.754334243151605,0.754355132403618,0.691629423254649,0.81134564920586,127.017496551584,223.293294539412,208.422100683881,190,1048
"52",2020-04-14,85.26000214,317,52.1,14.4,42,90,2020-04-14,0.747914810422511,0.747744949367567,0.689798582533611,0.810511673133668,120.657756328614,214.398659756038,254.929894506244,210,947
"53",2020-04-15,85.26000214,460,47.2,12.6,25,90,2020-04-15,0.74407669338576,0.742420498374226,0.686440149810526,0.80424645636885,114.496413956685,205.709726651316,155.472329353324,317,2344
"54",2020-04-16,85.26000214,387,46.6,14.8,50,90,2020-04-16,0.741321517880147,0.736489163771724,0.682574590640194,0.799078508071121,108.513732113763,197.265280052614,200.311256574333,460,2640
"55",2020-04-17,85.26000214,288,45.5,17.2,46,90,2020-04-17,0.737854892295225,0.737602524222907,0.677500025227123,0.791933602683434,102.720282383014,189.064383653374,133.0442613746,387,3344
"56",2020-04-18,85.26000214,353,56.6,17,50,90,2020-04-18,0.736112389524392,0.733676318992421,0.672049398132054,0.789260224316248,97.1549399551733,181.081158413275,148.137977432737,288,2235
"57",2020-04-19,85.26000214,134,74.5,15.1,53,90,2020-04-19,0.732946303512063,0.732419083678438,0.664301859938914,0.779088108839377,91.8272978307059,173.34280282785,0,0,0
"58",2020-04-20,85.26000214,332,93,12.7,42,90,2020-04-20,0.732465422841518,0.732457063741767,0.677344776174333,0.788438070650244,86.7405522506257,165.820194634324,216.969106324972,134,710
"59",2020-04-21,85.26000214,414,78.6,10.5,30,90,2020-04-21,0.730455629434254,0.730666326583883,0.672126834567892,0.78960004312655,81.8903776070411,158.507356629406,216.735562998137,332,1761
"60",2020-04-22,85.26000214,217,49.5,15.5,46,90,2020-04-22,0.730160632271753,0.728238489046313,0.670789902521153,0.788287779925349,77.2812683758431,151.393393649431,188.939875196751,414,2519
"61",2020-04-23,85.26000214,374,54.3,16.5,55,90,2020-04-23,0.731309352167436,0.732419559372393,0.668341000091108,0.786622877841014,72.9088938496128,144.501307139922,132.765245929037,217,1879
"62",2020-04-24,85.26000214,321,49.7,17.5,55,90,2020-04-24,0.730316731635422,0.72917455498981,0.66677993890372,0.783819290488218,68.7663086246423,137.763113769873,165.240218470101,374,2602
"63",2020-04-25,85.26000214,263,61,17.3,53,90,2020-04-25,0.733464112833785,0.733178789064947,0.676087343497906,0.789694147836676,64.8628115669572,131.252388378216,176.567267808771,321,2090
"64",2020-04-26,85.26000214,125,76,15.1,42,90,2020-04-26,0.736033691275806,0.735895366386897,0.676177131550977,0.791640729707354,61.1854495532729,124.939946378475,124.01479443654,263,2438
"65",2020-04-27,85.26000214,240,85.7,15,38,90,2020-04-27,0.737411429951652,0.736989314474288,0.673139961083281,0.791052364829112,57.733868346284,118.827398394665,147.537529393648,125,974
"66",2020-04-28,85.26000214,275,93,13.3,17,90,2020-04-28,0.742173079835684,0.741234574228944,0.681473472254057,0.795970330676879,54.5113088187027,112.922175315653,120.063961256951,240,2298
"67",2020-04-29,85.26000214,259,68,16.1,21,90,2020-04-29,0.746534240990711,0.745748487323936,0.696206260908483,0.809204794694237,51.496625134001,107.22894757046,128.932878460321,275,2452
"68",2020-04-30,85.26000214,213,76,15.2,30,90,2020-04-30,0.750980192060799,0.750153129948618,0.689901584023719,0.807242438356597,48.6841544513403,101.750446887643,123.701545126773,259,2407
"69",2020-05-01,85.26000214,292,76,14.1,25,90,2020-05-01,0.756024230031613,0.75496906598587,0.705966568534564,0.818992364115949,46.0729692498209,96.4894850124183,98.1039452662337,213,2496
"70",2020-05-02,85.26000214,191,51.2,18.3,13,90,2020-05-02,0.761527617309907,0.760619201178915,0.707863405453798,0.822892719595647,43.6483912718593,91.4481275944866,141.282335554843,292,2376
"71",2020-05-03,85.26000214,122,50.5,19.3,17,90,2020-05-03,0.766718490646008,0.766302046065134,0.70270933701919,0.822053234357384,41.3972315902276,86.6277943852696,122.190302696573,191,1797
"72",2020-05-04,64.09999847,102,48.2,17.5,30,60,2020-05-04,0.773368592133097,0.771999456778638,0.720051475431391,0.837903272314529,39.3107916689286,82.0296257244162,84.0843623155316,122,1668
"73",2020-05-05,64.09999847,98,60.7,18.3,42,60,2020-05-05,0.779198301582886,0.779566838249902,0.712211228032035,0.833448838312028,37.3770900237426,77.6532803780198,60.5997249413957,102,1935
"74",2020-05-06,64.09999847,88,67.2,19.5,42,60,2020-05-06,0.785968712002904,0.784894184999791,0.723388642162181,0.844096209897303,35.5874757874624,73.4970198722336,41.3742262377743,98,2723
"75",2020-05-07,64.09999847,116,52,19.3,42,60,2020-05-07,0.793005090195709,0.792805022334245,0.720623459362157,0.842106236715992,33.9328405623235,69.5586982164351,68.3091787677964,88,1481
"76",2020-05-08,64.09999847,108,54.6,18.2,46,60,2020-05-08,0.799270410080795,0.798608693044718,0.734796122938453,0.860660024107747,32.4030833619891,65.8349386160485,62.8440347634755,116,2122
"77",2020-05-09,64.09999847,66,49.5,18.7,42,60,2020-05-09,0.806442442901893,0.804777715725413,0.74033732318922,0.865539288136263,30.9905983489176,62.3209847256393,77.5019615079978,108,1602
"78",2020-05-10,64.09999847,66,74.5,15.9,38,60,2020-05-10,0.813789542785814,0.814701061946577,0.741128446248756,0.876079590409675,29.6849324635268,59.0112852955653,36.8859602899027,66,2057
"79",2020-05-11,64.09999847,71,85.5,14,21,60,2020-05-11,0.819578695918143,0.816542899402541,0.746818568553364,0.881642370717404,28.4786074647685,55.8992251202668,58.3649387048691,66,1300
"80",2020-05-12,64.09999847,88,73.7,16.8,21,60,2020-05-12,0.825807911743203,0.823493936934564,0.761436840821032,0.902910673285658,27.3656633220327,52.9775794746227,62.8348594776801,71,1299
"81",2020-05-13,64.09999847,88,91.7,13.7,30,60,2020-05-13,0.832206817056421,0.829663068230186,0.765216225261813,0.903609979048161,26.3353241414327,50.23874926997,37.9609357430043,88,2665
"82",2020-05-14,64.09999847,89,71,17.3,21,60,2020-05-14,0.838110730429758,0.837688789653347,0.764524191675493,0.909589505823248,25.3785567228131,47.6748245316682,48.1055129601077,88,2103
"83",2020-05-15,64.09999847,84,76.7,16.1,21,60,2020-05-15,0.844403168328944,0.842605666840478,0.764365270074284,0.907125354678829,24.4905291673593,45.2775640808094,42.0878264846326,89,2431
"84",2020-05-16,66.66999817,45,86.2,16.2,25,70,2020-05-16,0.850418331206821,0.849446698175022,0.767684703889724,0.911348802473387,23.6666364647622,43.0386183525667,39.4313777210965,84,2449
"85",2020-05-17,66.66999817,43,77,16.7,30,70,2020-05-17,0.855570559545796,0.854907500615095,0.783235219396116,0.928999466829372,22.9026364035119,40.9496019309358,30.0770693642957,45,1720
"86",2020-05-18,64.73999786,53,66,21.1,38,60,2020-05-18,0.857700931128151,0.856408544425754,0.794005040866464,0.938324443140822,22.1940292132083,39.0022166861835,36.61728477668,43,1350
"87",2020-05-19,64.73999786,116,61.1,19.8,30,60,2020-05-19,0.860298891848282,0.857753799881902,0.783444613765912,0.930998021040756,21.5336222415725,37.1881559663059,46.941031385879,53,1298
