Date,Day,NewDeaths,Daily,C1_SchoolClosing,C1_Flag,C2_WorkplaceClosing,C2_Flag,C3_CancelPublicEvents,C3_Flag,C4_RestrictionsOnGatherings,C4_Flag,C5_ClosePublicTransport,C5_Flag,C6_StayAtHomeRequirements,C6_Flag,C7_RestrictionsOnInternalMovement,C7_Flag,C8_InternationalTravelControls,E1_IncomeSupport,E1_Flag,E2_Debt_contractRelief,E3_FiscalMeasures,E4_InternationalSupport,H1_PublicInformationCampaigns,H1_Flag,H2_TestingPolicy,H3_ContactTracing,H4_EmergencyInvestmentInHealthcare,H5_InvestmentInVaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,Humidity,Temperature,pm25,pm10,co,no2,o3
05/25/2020,60,76,691,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,374898,23473,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50,-1,-1,-1,-1,-1,-1,-1
05/26/2020,61,147,824,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,391222,24512,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50,-1,-1,-1,-1,-1,-1,-1
05/27/2020,62,157,1460,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,411821,25598,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50,-1,-1,-1,-1,-1,-1,-1
05/28/2020,63,158,1220,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,438238,26754,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50,-1,-1,-1,-1,-1,-1,-1
05/29/2020,64,137,1340,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,465166,27878,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50,-1,-1,-1,-1,-1,-1,-1
05/30/2020,65,95,1170,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,498440,28834,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50,-1,-1,-1,-1,-1,-1,-1
05/31/2020,66,53,676,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,514849,29314,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/01/2020,67,93,857,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,526447,29937,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/02/2020,68,157,1190,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,555383,31199,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/03/2020,69,227,1750,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,584016,32548,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/04/2020,70,176,744,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,614932,34021,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/05/2020,71,78,1350,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,645762,35026,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/06/2020,72,92,660,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,672837,35930,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/07/2020,73,61,412,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,691758,36455,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/08/2020,74,54,778,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,707412,37134,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/09/2020,75,83,1010,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,739503,38406,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/10/2020,76,117,1060,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,772416,39680,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/11/2020,77,134,1060,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,802828,40919,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
06/12/2020,78,27,487,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,NaN,828810,41828,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
