"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"27",2020-03-21,35,47.4,17.8,72,30,8.3,34.2,-86,-46,-86,-80,-62,28,2020-03-21,0.809839228374062,0.809030624410231,0.741879849946645,0.862645165126878,60.6434254421316,76.7012292425549,64.3070024773431,35,184
"28",2020-03-22,195,65.5,13.3,53,16,3.7,26.9,-96,-94,-91,-88,-64,24,2020-03-22,0.80592625132896,0.804086154933511,0.736768453442988,0.856010641441427,58.3523301199814,76.4987301017527,86.9522540640075,195,780
"29",2020-03-23,155,22,8,34,10,15.1,30.9,-79,-39,-78,-78,-64,32,2020-03-23,0.80407500011169,0.804255650911935,0.738287049425904,0.861885559720135,56.0854091112665,76.0045235059899,107.177728667365,155,503
"30",2020-03-24,71,26.7,9.4,42,10,15.1,31.3,-80,-43,-79,-77,-66,34,2020-03-24,0.801523332057607,0.801069746473304,0.736702578298373,0.857069203614455,53.8603286015821,75.2205570023181,107.367131105122,71,230
"31",2020-03-25,90,47.7,7.2,50,20,7.8,28.5,-83,-46,-82,-80,-68,35,2020-03-25,0.800577496035347,0.799166952452388,0.742958088985396,0.866261356625875,51.6912453198814,74.1969184898273,61.6197076044148,90,508
"32",2020-03-26,86,89.2,3.8,46,18,9.2,24.8,-85,-51,-85,-82,-71,37,2020-03-26,0.800228990012041,0.798659987653894,0.735960517946692,0.863369767872915,49.5855487026842,72.9468171690049,60.9197054949462,86,491
"33",2020-03-27,79,85.2,9.3,65,42,13.3,17.5,-83,-40,-83,-81,-70,38,2020-03-27,0.799641345514736,0.79782176249734,0.730669064170581,0.853904328304126,47.5483515220806,71.5186863404836,49.68700232229,79,553
"34",2020-03-28,62,67.6,11.2,82,73,15.6,32.9,-88,-50,-86,-82,-66,29,2020-03-28,0.799640518721066,0.798302194160207,0.742674616728185,0.862307167260185,45.5877126746941,69.9305637015145,53.2448370564787,62,405
"35",2020-03-29,57,66,13.6,63,60,8.3,36.2,-96,-94,-88,-88,-65,24,2020-03-29,0.80097604011981,0.80006689379616,0.740483030689423,0.862633822479979,43.7046435249783,68.2258046900299,0,0,0
"36",2020-03-30,50,68,12.3,55,46,11.5,30.5,-81,-42,-77,-78,-67,33,2020-03-30,0.801232039285488,0.799569205636881,0.744463516747427,0.861592201627885,41.8979561302001,66.3933273815169,0,0,0
"37",2020-03-31,74,42.8,7,25,9,11.5,30.5,-90,-37,-77,-76,-69,35,2020-03-31,0.802425344867813,0.800331989557036,0.732512620235157,0.855725141012885,40.1718755016485,64.4929602586128,53.2875097369487,74,483
"38",2020-04-01,72,26.8,10.6,57,20,18.3,33.8,-90,-35,-75,-76,-68,35,2020-04-01,0.80410051061974,0.804019887816648,0.74223917177518,0.863685007976441,38.5241899852737,62.5404658449681,63.2380029556418,72,396
"39",2020-04-02,44,17.5,13.8,63,21,21.1,35.4,-90,-35,-75,-76,-68,35,2020-04-02,0.804899907133186,0.802712821496824,0.744178363684347,0.864267198955115,36.9507931849515,60.5607200316972,80.8430888286599,44,165
"40",2020-04-03,34,23.5,16.1,74,27,20.6,42.3,-85,-29,-78,-78,-67,36,2020-04-03,0.805922395743382,0.804007322885636,0.754150453902469,0.87839069144679,35.4524055089903,58.5520618319659,62.469659549419,34,180
"41",2020-04-04,118,36.2,16.2,72,30,11,45.5,-90,-42,-85,-81,-64,28,2020-04-04,0.805545987328759,0.806984696610363,0.741476614888974,0.863812699660907,34.0245016287038,56.5517950202947,62.278397447969,118,659
"42",2020-04-05,74,47,12.3,61,21,10.6,40.3,-96,-93,-88,-87,-63,24,2020-04-05,0.806029427917864,0.806300062943769,0.746262650268346,0.870747199945368,32.6604774186053,54.5643127610404,65.6578244973118,74,392
"43",2020-04-06,42,47,14,68,27,19.7,45.5,-82,-32,-74,-76,-63,31,2020-04-06,0.806988111694541,0.807627536689684,0.739116648238119,0.866958005523656,31.3531636365975,52.6035419591657,74.530503483435,42,196
"44",2020-04-07,48,44.5,13.7,72,28,17.9,41.5,-81,-33,-73,-75,-64,33,2020-04-07,0.805511029252647,0.805562366491501,0.73536323198406,0.861708444106452,30.0990062956311,50.68330711316,30.916357000536,48,540
"45",2020-04-08,30,32.5,14,55,20,18.8,37.8,-81,-31,-74,-75,-64,33,2020-04-08,0.801724226563871,0.80148561027866,0.736802655807596,0.863473254588424,28.8985581582011,48.7999678251344,44.7822767711627,30,233
"46",2020-04-09,26,36,15.2,57,20,21.5,42.7,-81,-28,-74,-75,-64,33,2020-04-09,0.797197381033118,0.795433843504045,0.72705719154099,0.855030074768797,27.7434082013481,46.9689384966936,46.1379307278407,26,196
"47",2020-04-10,52,40.7,13.4,59,21,19.2,49.2,-80,-20,-77,-76,-65,35,2020-04-10,0.794691184043043,0.794261731653568,0.736983889461369,0.862430921153751,26.6177624434961,45.1910179933447,37.6009747303816,52,481
"48",2020-04-11,39,10,25,57,20,9.2,52.6,-87,-38,-84,-79,-63,27,2020-04-11,0.788222030511735,0.787101529508624,0.729792922997702,0.854355109241366,25.512470724632,43.4765384893992,30.0100699866929,39,452
"49",2020-04-12,19,10,23.9,38,12,3.7,43.9,-96,-95,-89,-89,-66,24,2020-04-12,0.783493185041969,0.779801580073019,0.715337050537801,0.841989336032113,24.4312224774158,41.8098539552722,32.5535532456383,19,203
"50",2020-04-13,42,NA,NA,55,17,4.6,47.2,-96,-96,-84,-90,-91,43,2020-04-13,0.77814802866306,0.777927573461203,0.710772158678922,0.840031006887027,23.3719870428585,40.2049958802446,50.7221482040044,42,288
"51",2020-04-14,9,42.8,18.3,46,19,9.6,43.9,-80,-33,-74,-74,-61,31,2020-04-14,0.773127708209361,0.773572985701643,0.699988196578368,0.830194679102686,22.3316134238269,38.660887490223,16.5360863513168,9,82
"52",2020-04-15,34,34.3,15,38,16,8.7,36.2,-80,-31,-73,-73,-60,31,2020-04-15,0.766980452140796,0.769135568496094,0.70145324167031,0.823035001703303,21.311933582575,37.167267743248,22.6542271124617,34,522
"53",2020-04-16,82,41.7,16.4,46,20,15.1,38.6,-78,-33,-73,-74,-59,32,2020-04-16,0.760585187336445,0.757054131149609,0.694461002815451,0.824306012966131,20.3145090417307,35.7344354812998,26.6794568129041,82,1069
"54",2020-04-17,27,33.6,19.8,50,21,17.9,43.1,-78,-29,-75,-75,-59,33,2020-04-17,0.754018241639248,0.752465219005146,0.688816337170263,0.814087589695696,19.3386312998347,34.3502493512194,25.6580421828219,27,366
"55",2020-04-18,43,47,19.3,57,22,9.6,42.3,-85,-43,-83,-78,-58,27,2020-04-18,0.748331359709256,0.746477317319079,0.681154189631676,0.809434881632096,18.3827322465284,33.011022371928,27.6959031463135,43,540
"56",2020-04-19,45,71,16.1,57,24,5.1,40.3,-94,-84,-87,-86,-57,23,2020-04-19,0.744192461254765,0.74133772219401,0.685446867624067,0.810531551749293,17.4472461996755,31.711334566973,0,0,0
"57",2020-04-20,74,89.5,13,42,16,3.7,22.4,-78,-46,-79,-77,-57,29,2020-04-20,0.739705325787316,0.736871765666193,0.675105670733439,0.801290737793716,16.5356232890544,30.4586338877716,50.3676461897186,74,511
"58",2020-04-21,22,72.5,11.6,42,20,9.6,21.2,-78,-41,-76,-74,-58,31,2020-04-21,0.736240008354918,0.735444951498005,0.679742551245619,0.801064442854299,15.6535821736742,29.2242106443609,31.6190014778209,22,242
"59",2020-04-22,64,55.2,13.8,53,20,14.7,38.6,-77,-39,-72,-73,-56,30,2020-04-22,0.73205919582472,0.728657597149201,0.676227904621134,0.794380044553967,14.8040557067596,28.0334859465354,34.4046012988963,64,647
"60",2020-04-23,26,52.2,14.8,61,22,13.8,43.5,-77,-37,-70,-72,-57,30,2020-04-23,0.729739996106625,0.726383446412894,0.668511944742712,0.786113872899278,13.9880236478017,26.8719146660717,34.780901625603,26,260
"61",2020-04-24,12,48,17.3,57,20,12.4,46.3,-75,-23,-71,-72,-57,31,2020-04-24,0.726638271895938,0.722983911712806,0.661205384236259,0.779572927865699,13.2051865519595,25.7369779908558,22.0481151350891,12,135
"62",2020-04-25,23,45,18,42,13,7.8,43.5,-95,-94,-84,-85,-75,30,2020-04-25,0.723927595716632,0.723804836718033,0.660550452889007,0.775868444478655,12.4563624873607,24.6284347908716,26.4887661387043,23,302
"63",2020-04-26,39,52,19.3,42,13,7.8,40.7,-91,-57,-83,-83,-51,22,2020-04-26,0.720386445573453,0.721074921769296,0.660885830341775,0.778074028256364,11.7421192486313,23.5455341455933,23.5087549982412,39,577
"64",2020-04-27,39,57.5,18.6,34,13,11,32.9,-71,-31,-66,-69,-52,26,2020-04-27,0.717390560660913,0.717517490493113,0.653191870059941,0.769699928186953,11.0614049860895,22.4878292651261,39.8957400999564,39,340
"65",2020-04-28,10,69.5,16.2,21,11,12.8,30.5,-75,-36,-70,-71,-54,27,2020-04-28,0.71627017057622,0.714904764469144,0.6565243372643,0.774766736224907,10.4122872745115,21.4556361001053,15.6670728043257,10,222
"66",2020-04-29,22,70.5,16.1,21,9,9.2,29.7,-74,-33,-67,-70,-53,28,2020-04-29,0.716065310758255,0.713102463274781,0.648232988114759,0.765214862620524,9.79352321167807,20.4497043956477,40.42154441433,22,189
"67",2020-04-30,13,73.5,17,25,10,9.6,30.5,-71,-21,-67,-69,-53,27,2020-04-30,0.716003679859176,0.714469680851795,0.651661146496394,0.770049373274923,9.20652769504051,19.4709231964593,23.8854580630132,13,178
"68",2020-05-01,20,63.2,18.7,17,9,5.5,30.1,-94,-94,-79,-87,-88,45,2020-05-01,0.717031620199192,0.717059743508038,0.661725522760175,0.779915545940156,8.65305780309386,18.5202788962385,22.5850010555864,20,308
